Supplier Code,Product ID #,Product Name,Product Description,Imprint Size,Color Name,Color Value,Inventory Level,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code
GEM,100177-038,Igloo® Seadrift™ Switch Backpack Cooler White-Grey,White-Grey,,81,,,,,,,,,,,,,,,,,,,,
GEM,100177-039,Igloo® Seadrift™ Switch Backpack Cooler Black-Grey,Black-Grey,,0,,,,,,,,,,,,,,,,,,,,
GEM,100177-777,Igloo® Seadrift™ Switch Backpack Cooler Navy-White,Navy-White,,369,,,,,,,,,,,,,,,,,,,,
GEM,100178,Igloo® Seadrift™ Snap Down Cooler,"Features MaxCold® insulation with 25% more foam to keep drinks and food cooler longer. Dual zippered opening to large main compartment. Easy-to-pack, doctor-style opening with side buckle closures. Deep, gusseted front zippered pocket for additional storage. Dual carry handles with padded handle wrap. Removable, adjustable padded shoulder strap. EPPE heat-sealed lining. PVC free. Phthalate free. 36 can capacity.",,,,,6,12,62.03,S
GEM,100178-038,Igloo® Seadrift™ Snap Down Cooler White-Grey,White-Grey,,881,,,,,,,,,,,,,,,,,,,,
GEM,100178-039,Igloo® Seadrift™ Snap Down Cooler Black-Grey,Black-Grey,,3952,,,,,,,,,,,,,,,,,,,,
GEM,100178-777,Igloo® Seadrift™ Snap Down Cooler Navy-White,Navy-White,,850,,,,,,,,,,,,,,,,,,,,
GEM,100195,Moleskine® Hard Cover Ruled Large Expanded Notebook,This expanded version of the Classic Notebook has 400 pages and 2 ribbon bookmarks to capture and keep track of more ideas than ever. Double ribbon bookmark. Ruled format. Expandable inner pocket Ivory-colored 70 g/m² acid-free paper. 400 pages (200 sheets). Notebooks come packaged with a Moleskine branded paper band and are individually shrink wrapped. Add a Custom Band (Item # 505).,,,,,12,24,54.15,P,25,49,46.44,Q,50,99,37.42,S,100,200,35.98,S
GEM,100195-001,Moleskine® Hard Cover Ruled Large Expanded Notebook Black,Black,,2061,,,,,,,,,,,,,,,,,,,,
GEM,100195-402,Moleskine® Hard Cover Ruled Large Expanded Notebook Sapphire Blue,Sapphire Blue,,12,,,,,,,,,,,,,,,,,,,,
GEM,100195-612,Moleskine® Hard Cover Ruled Large Expanded Notebook Scarlet Red,Scarlet Red,,138,,,,,,,,,,,,,,,,,,,,
GEM,100197,Pace Bluetooth® Earbuds,Enjoy your music while on the go. In-line microphone with answer and end call button enables a smooth transition between audio playback and telephone use. In-line volume control allows you to adjust music without ever touching your mobile device. Inclined in-ear earbuds allow for long-time wear with little stress on your ears. Back of earbuds are magnetic to sit securely around your neck when earbuds are not in use. Built-in lithium battery can be charged with the included micro USB cable.,,,,,12,24,66.67,P,25,49,57.18,Q,50,99,49.92,R,100,200,48,R
GEM,100197-001,Pace Bluetooth® Earbuds Black,Black,,1185,,,,,,,,,,,,,,,,,,,,
GEM,100207,Swift Earbuds with Mic & Volume Control,"Enjoy your music and take calls while on the go. Perfect size for travel, purse, or gym bag. The earbuds have been designed to allow you to apply decoration directly onto the earbuds for a higher perceived value. Interchangeable silicone earbud tips included. 47"" cord length. Simulated leather pouch with clip included (Case dimensions: 4.5L 3.5H). Earbud Dimensions: 1L 0.6H 0.6W.",,,,,40,99,17.64,P,100,299,15.13,Q,300,499,13.21,R,500,1000,12.7,R
GEM,100207-001,Swift Earbuds with Mic & Volume Control Black,Black,,3928,,,,,,,,,,,,,,,,,,,,
GEM,100208,Travis & Wells® Lilah Computer Tote,"This modern and elegant women's tote bag is perfect for business or casual situations. Features include an interior padded, quilted laptop compartment (fits up to 15"" devices), a zippered opening to the large main compartment, interior pockets for additional storage and dual front zippered pockets for organization, water bottles or an umbrella. A trolley straps feature slips over the luggage handle for easy transport and you can carry it around using the 24.5"" shoulder straps.",,,,,12,24,69.43,P,25,49,59.54,Q,50,99,51.98,R,100,200,49.98,R
GEM,100208-001,Travis & Wells® Lilah Computer Tote Black,Black,,847,,,,,,,,,,,,,,,,,,,,
GEM,100209,Travis & Wells® Ashton Leather Padfolio,"This stylish padfolio is designed to help you organize important documents and more importantly, give you easy access! This modern and sleek product features a zippered closure, multi-pocket organizer with stretch pockets for storing up to a 6"" smartphone, elastic loops for cord management, an interior slash pocket with tricot lining and storage space for up to a 12"" laptop. Comes with an 8.5"" x 11"" paper pad for notetaking and a branded gift box for gift giving purposes.",,,,,6,24,97.21,P,25,49,83.37,Q,50,99,72.78,R,100,200,69.98,R
GEM,100209-001,Travis & Wells® Ashton Leather Padfolio Black,Black,,0,,,,,,,,,,,,,,,,,,,,
GEM,100211,Travis & Wells® Ashton Computer Backpack,"From the classroom to the office, this modern, sleek backpack with classic style is perfect for business or casual use. Features include a dual zippered opening to the large main compartment, an interior padded laptop compartment, an interior water bottle pocket, additional slash pocket, top zippered pocket with scratch-resistant lining for phones and a front zippered pocket with organizational panel. The integrated trolley strap feature slips over a luggage handle for transport.",,,,,12,24,62.48,P,25,49,53.59,Q,50,99,46.78,R,100,200,44.98,R
GEM,100211-001,Travis & Wells® Ashton Computer Backpack Black,Black,,582,,,,,,,,,,,,,,,,,,,,
GEM,100212,Travis & Wells® Lilah Computer Backpack,"Built for the modern women, this computer backpack takes style and functionality to a different level! Features a dual zippered opening to the large main compartment, an interior laptop compartment and a zippered pouch that easily clips into the interior or makes a perfect grab-and-go accessory. It's also equipped with dual front zippered pockets for additional organization and a trolley strap feature that slips over a luggage handle for easy transport.",,,,,12,24,66.65,P,25,49,57.16,Q,50,99,49.9,R,100,200,47.98,R
GEM,100212-001,Travis & Wells® Lilah Computer Backpack Black,Black,,703,,,,,,,,,,,,,,,,,,,,
GEM,100214,Travis & Wells® Ashton Travel Organizer,"This travel organizer offers plenty of room for your essentials, including an imprinted brand name or logo! Designed with a modern and sleek look, this organizer is ideal for casual or business purposes. Features include a dual zippered opening to the main compartment, three scratch-resistant lined pockets, ideal for electronics and phones, a zippered center pocket, three elastic slip pockets, pen loop and a removable, scratch-resistant lined grid organizer with an easy-to-grab webbing tab.",,,,,25,49,30.54,P,50,99,26.19,Q,100,299,22.86,R,300,600,21.98,R
GEM,100214-001,Travis & Wells® Ashton Travel Organizer Black,Black,,1347,,,,,,,,,,,,,,,,,,,,
GEM,100215,Mobile Office Computer Backpack,"Introducing the Mobile Office Computer Backpack - a backpack for the modern office! Constructed of 600D polyester and 600D matte polyester, this bag has many features, including a dual zippered opening to the large main compartment, interior padded laptop compartment (up to 15"" devices), interior pockets that can accommodate iPhone Plus and other accessories, an expandable side water bottle pocket, dual zippered exterior compartments and padded top.",,,,,25,49,31.92,P,50,99,27.38,Q,100,299,23.9,R,300,600,22.98,R
GEM,100215-001,Mobile Office Computer Backpack Black,Black,,10185,,,,,,,,,,,,,,,,,,,,
GEM,100223,Moleskine® Passion Journal - Wine,"The Wine Journal is designed to grow into a permanent and uniquely customized record of all the vintages you have had the pleasure of sampling. The opening pages include some useful tips to improve your sommelier skills, while six sections allow you to focus your attention on Sparkling, White, Rosé, Red, Fortified/Sweet Wine and Spirits. A full page is dedicated to each wine with structured space to record grape variety, appearance, taste and much more,",,,,,12,24,49.63,P,25,49,42.57,Q,50,99,34.3,S,100,200,32.98,S
GEM,100223-607,Moleskine® Passion Journal - Wine Bordeaux Red,Bordeaux Red,,100,,,,,,,,,,,,,,,,,,,,
GEM,100224,Moleskine® Passion Journal - Travel,"Intro pages include tips and tools, including an 8-year calendar and timeline for planning. The memories and wish list section gives space to plan holidays. 2 ribbon bookmarks. Double expandable inner pocket. Ivory-colored 70 g/m² acid-free paper. Tabbed sections to guide notes. Themed introductory pages. 400 pages. Themed stickers. Product is packaged in a Moleskine gift box (Notebook will not include a Moleskine branded ivory paper band and will not be shrink wrapped).",,,,,12,24,49.63,P,25,49,42.57,Q,50,99,34.3,S,100,200,32.98,S
GEM,100224-308,Moleskine® Passion Journal - Travel Elm Green,Elm Green,,113,,,,,,,,,,,,,,,,,,,,
GEM,100225,Moleskine® Passion Journal - Wellness,"The Wellness Journal is designed to grow into a permanent and uniquely customized record of your fitness, nutrition and wellness journey, tracking all your healthy lifestyle goals along the way. The intro pages are full of nutrition tips, exercises to increase muscle mass and practical fitness facts, while four dedicated and structured sections allow you to divide your progress between Personal Goals, Fitness, Diet, and Health & Care. Plain pages at the back make space for extra notes.",,,,,12,24,49.63,P,25,49,42.57,Q,50,99,34.3,S,100,200,32.98,S
GEM,100225-333,Moleskine® Passion Journal - Wellness Willow Green,Willow Green,,142,,,,,,,,,,,,,,,,,,,,
GEM,100226,Willow Deluxe Cotton Packable Tote,"The lightweight design of this package cotton tote makes it simple to use on the go! Made of 8 oz. cotton, this tote bag measures 15.75""L x 14.75'H and features a flap closure that secures with a snap closure. Carry it around comfortably using the 22"" shoulder straps.  With imprint capabilities, you can add a logo or brand name and then casually introduce customers to your company at tradeshows and many other promotional events!",,,,,25,99,11.11,P,100,299,9.53,Q,300,999,8.32,R,1000,2000,8,R
GEM,100226-101,Willow Deluxe Cotton Packable Tote Natural,Natural,,0,,,,,,,,,,,,,,,,,,,,
GEM,100237,Astra 3D Active Noise Cancellation Bluetooth® Headphones,"Stream music from your smartphone, tablet, or any Bluetooth enabled device or take a call mid-playlist. Virtual 3D surround-sound technology creates an immersive soundscape for movies, games, and music Integrated buttons allow you to answer calls through the headset, adjust volume and skip music tracks. Active Noise Cancellation eliminates unwanted noise without sacrificing sound quality",,,,,6,12,157.5,R
GEM,100237-001,Astra 3D Active Noise Cancellation Bluetooth® Headphones Black,Black,,1800,,,,,,,,,,,,,,,,,,,,
GEM,100250,Aviana™ Harlow Double Wall Stainless Carafe - 34 Oz.,"Double wall vacuum insulated carafe keeps cocktails and other beverages colder longer. Made of high-grade 18/8 stainless steel with a sweat-proof design. 360 degree pour lid allows  the beverage to be poured from any angle. Lid locks in place when open and filters to ensure ice stays in the carafe for the perfect pour. Passivated interior protects against corrosion. Product does not retain odors or flavors. Lid is dishwasher safe (top rack), hand wash body recommended. BPA free.",,,,,12,24,26.23,R
GEM,100250-010,Aviana™ Harlow Double Wall Stainless Carafe - 34 Oz. Black Opaque Gloss,Black Opaque Gloss,,361,,,,,,,,,,,,,,,,,,,,
GEM,100254,Truman Wireless Charging Desk Organizer,"Put all your daily necessities in one location, making your desk clutter-free. Wirelessly charge your devices. Compatible with all Qi-standard wirelessly-charged phones. Each organizer can be magnetically attached, which allows for maximum flexibility. Anti-slip rubber feet. LED indicator illuminates when device is being charged or a metal object has been detected.",,,,,6,24,97.21,P,25,49,83.37,Q,50,99,72.78,R,100,200,69.98,R
GEM,100254-001,Truman Wireless Charging Desk Organizer Black,Black,,1314,,,,,,,,,,,,,,,,,,,,
GEM,100254-121,Truman Wireless Charging Desk Organizer Medium Grey Heather,Medium Grey Heather,,597,,,,,,,,,,,,,,,,,,,,
GEM,100262,Gaia Bamboo Fiber Cutlery Set,"This cutlery set is 100% biodegradable, made of a bio-composite of 15% bamboo fibers combined with 85% PLA. Bamboo is a fast-growing plant that thrives without fertilizer or pesticides, making it the perfect resource to harvest again and again. Cutlery set includes fork, knife, and spoon that come in a reusable cotton travel pouch. BPA free. PVC free. Phthalate free. Hand wash only. This product contains bamboo fiber, which is a natural material. Color and pattern variances are to be expected.",,,,,50,99,14.56,P,100,299,12.49,Q,300,999,10.9,R,1000,2000,10.48,R
GEM,100262-106,Gaia Bamboo Fiber Cutlery Set Natural Bamboo Fiber,Natural Bamboo Fiber,,3804,,,,,,,,,,,,,,,,,,,,
GEM,100263,Gaia Bamboo Fiber with Stainless Steel Tumbler - 13.5 Oz.,"This tumbler is a bio-composite of 70% bamboo fibers and other natural materials. Bamboo is a fast-growing plant that thrives without fertilizer or pesticides, making it the perfect resource to harvest again and again. Stainless steel interior and push on lid for added hot and cold retention. Base of tumbler features nonslip grip for extra stability. Dishwasher safe (top rack only), hand wash recommended. Color and pattern variances are to be expected.",,,,,25,49,29.15,P,50,99,25,Q,100,299,21.82,R,300,600,20.98,R
GEM,100263-106,Gaia Bamboo Fiber with Stainless Steel Tumbler - 13.5 Oz. Natural Bamboo Fiber,Natural Bamboo Fiber,,315,,,,,,,,,,,,,,,,,,,,
GEM,100273,MiiR® Vacuum Insulated Camp Cup - 12 Oz.,"Every MiiR product sold helps fund transparent giving projects. Every MiiR product comes with a Give Code that allows you to experience the story behind your purchase. Make your campfire memories a little warmer with a modern take on Grandpa's old camp cup. Use it for your coffee, tea or your favorite drink you want to keep hot or cold.  18/8 medical grade stainless steel doesn't transfer flavor or leave you with a metal aftertaste in your mouth.",,,,,25,50,21.59,R
GEM,100273-009,MiiR® Vacuum Insulated Camp Cup - 12 Oz. Black Powder,Black Powder,,48267,,,,,,,,,,,,,,,,,,,,
GEM,100273-018,MiiR® Vacuum Insulated Camp Cup - 12 Oz. Black Speckle,Black Speckle,,23385,,,,,,,,,,,,,,,,,,,,
GEM,100273-104,MiiR® Vacuum Insulated Camp Cup - 12 Oz. White Powder,White Powder,,40827,,,,,,,,,,,,,,,,,,,,
GEM,100273-120,MiiR® Vacuum Insulated Camp Cup - 12 Oz. Basal,Basal,,1393,,,,,,,,,,,,,,,,,,,,
GEM,100273-458,MiiR® Vacuum Insulated Camp Cup - 12 Oz. Home,Home,,4095,,,,,,,,,,,,,,,,,,,,
GEM,100274,MiiR® Vacuum Insulated Tumbler - 12 Oz.,Every MiiR product sold helps fund transparent giving projects. MiiR gives at least 1% of revenue to nonprofit organizations whose work empowers communities while benefiting the health of their natural environments. Every MiiR product comes with a Give Code that allows you to experience the story behind your purchase. Thermo 3D(TM) Double Wall Vacuum Insulation Technology. 18/8 medical grade stainless steel doesn't transfer flavor or leave you with a metal aftertaste in your mouth.,,,,,25,50,19.99,R
GEM,100274-009,MiiR® Vacuum Insulated Tumbler - 12 Oz. Black Powder,Black Powder,,20655,,,,,,,,,,,,,,,,,,,,
GEM,100274-018,MiiR® Vacuum Insulated Tumbler - 12 Oz. Black Speckle,Black Speckle,,13493,,,,,,,,,,,,,,,,,,,,
GEM,100274-104,MiiR® Vacuum Insulated Tumbler - 12 Oz. White Powder,White Powder,,35043,,,,,,,,,,,,,,,,,,,,
GEM,100274-120,MiiR® Vacuum Insulated Tumbler - 12 Oz. Basal,Basal,,1956,,,,,,,,,,,,,,,,,,,,
GEM,100274-458,MiiR® Vacuum Insulated Tumbler - 12 Oz. Home,Home,,3214,,,,,,,,,,,,,,,,,,,,
GEM,100275,MiiR® Vacuum Insulated Wide Mouth Bottle - 20 Oz.,MiiR gives at least 1% of revenue to trackable giving projects. Every MiiR product comes with a Give Code that allows you to experience the story behind your purchase. Wide mouth opening.  Keeps hot stuff hot and cold stuff cold. The Wide Mouth Bottle won't sweat or be hot to touch. 18/8 medical grade stainless steel doesn't transfer flavor or leave you with a metal aftertaste in your mouth. Hardshell (TM) Powder coat has great color and prevents peeling.,,,,,12,24,30.39,R
GEM,100275-009,MiiR® Vacuum Insulated Wide Mouth Bottle - 20 Oz. Black Powder,Black Powder,,37624,,,,,,,,,,,,,,,,,,,,
GEM,100275-018,MiiR® Vacuum Insulated Wide Mouth Bottle - 20 Oz. Black Speckle,Black Speckle,,12592,,,,,,,,,,,,,,,,,,,,
GEM,100275-104,MiiR® Vacuum Insulated Wide Mouth Bottle - 20 Oz. White Powder,White Powder,,13256,,,,,,,,,,,,,,,,,,,,
GEM,100275-120,MiiR® Vacuum Insulated Wide Mouth Bottle - 20 Oz. Basal,Basal,,7652,,,,,,,,,,,,,,,,,,,,
GEM,100275-458,MiiR® Vacuum Insulated Wide Mouth Bottle - 20 Oz. Home,Home,,763,,,,,,,,,,,,,,,,,,,,
GEM,100275-791,MiiR® Vacuum Insulated Wide Mouth Bottle - 20 Oz. Tidal Blue,Tidal Blue,,905,,,,,,,,,,,,,,,,,,,,
