Supplier Code,Product ID #,Product Name,Product Description,Imprint Size,Color Name,Color Value,Inventory Level,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code
Hub,101,Aeropure Stylus Pen,"For the ultimate promo pen package, look no further. The Aeropure features a
citrus-scented antibacterial sanitizer spray with 62% alcohol and functional
stylus to allow you to operate touch screens hands-free and clean your hands
when you must touch a surface. With a large imprint space front and center, your
brand is sure to stand out. Pen is operated by a twist-action retraction and
comes through the stylus tip when extended.
Hub,697RED/BLK,Cinnamon with Black Ink,Cinnamon with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,697SLA/BLK,Slate Blue with Black Ink,Slate Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,699,Textari Stylus™ Pen,"Laser engraved executive pen with stylus makes a perfect gift. Shimmering jewel
tones art set off by striking silver tone accents. Elegant diamond etched grip
provides writing comfort. Designed for advanced connectivity with all touch
screen devices.
Material: Metal
Standard Decoration Includes: Lasered, 1 Location
All Available Decoration Options:
Laser Engraved: 2"" W x 0.25"" H Barrel
Revolution Engraving: 2"" W x 0.5"" H Barrel
Tip Type: Ballpoint
Mechanism: Push Retractable
Click Here For Virtual Proofing Tool [https://www.hpgspectra.com/?item=699/]
Standard Packaging: Individually Cellophaned
Tags: popular, metal, tech, accessory, phone, tablet, gift, desk, office,
executive, advertisement, college, grade, writing, merchandise, study, high
school, pen, essay, list",,,,,100,499,2.34,A,500,999,2.24,A,1000,4999,2.13,A,5000,10000,2.05,A
Hub,699BLK/BLK,Black with Black Ink,Black with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,699BLUE/BLK,French Blue with Black Ink,French Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,699GRN/BLK,Green with Black Ink,Green with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,699GUN/BLK,Gunmetal with Black Ink,Gunmetal with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,699RED/BLK,Cinnamon with Black Ink,Cinnamon with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,701,Textari® Spectrum Stylus Pen,"Fun and colorful addition to the Textari® line. Features vivid metallic jewel
tones and silver trim. Your choice of blue (default) or black ultrasmooth ink.
Material: Metal
Standard Decoration Includes: Lasered, 1 Location
All Available Decoration Options:
Laser Engraved: 2"" W x 0.25"" H Barrel
Revolution Engraving: 2"" W x 0.5"" H Barrel (Revolution)
: 2"" x 0.25"" Second Side Barrel
Tip Type: Ball Point
Mechanism: Push Retractable
Click Here For Virtual Proofing Tool [https://www.hpgspectra.com/?item=701/]
Standard Packaging: Bulk
Tags: popular, metal, tech, accessory, phone, tablet, gift, desk, office,
executive, advertisement, college, grade, writing, merchandise, study, high
school, pen, essay, list",,,,,100,499,2.38,A,500,999,2.32,A,1000,4999,2.22,A,5000,10000,2.13,A
Hub,701GRADIENT/BLK,Ombre with Blue Ink (Default),Ombre with Blue Ink (Default),,0,,,,,,,,,,,,,,,,,,,,
Hub,701GRADIENT/BLUE,Ombre with Black Ink,Ombre with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,702,Textari Comfort Cloud Stylus Pen,"You'll be on cloud nine with the newest addition to the Textari family.
Featuring a rubberized pure white metal barrel with colorful stylus tips this
pen bring a fusion of writing comfort, stylus functionality, and fashion
together, making you the hero for any professional on the go. The pen uses black
ink and has a push retract nib.
Material: Metal with rubberized finish
Standard Decoration Includes: Lasered, 1 Location
All Available Decoration Options:
Laser Engraved: 2"" W x 0.25"" H Barrel
Full Color: 2"" W x 0.25"" H Barrel
Laser Engraved: 2"" W x 0.25"" H Second side
Tip Type: Ball Point
Mechanism: Click Extend
Click Here For Virtual Proofing Tool [https://www.hpgspectra.com/?item=702/]
Standard Packaging: Bulk
Tags: popular, metal, tech, accessory, phone, tablet, gift, desk, office,
executive, advertisement, college, grade, writing, merchandise, study, high
school, pen, essay, list",,,,,100,499,2.41,A,500,999,2.33,A,1000,4999,2.24,A,5000,10000,2.13,A
Hub,702NAVY/BLK,Navy with Black Ink,Navy with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,702LIME/BLK,Green with Black Ink,Green with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,702LTBLUE/BLK,Light Blue with Black Ink,Light Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,702RED/BLK,Red with Black Ink,Red with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,702SIL/BLK,Silver with Black Ink,Silver with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,702WHI/BLK,White with Black Ink,White with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,703,Textari Bali Pen,"This executive metal stylus pen in a soft-touch finish makes a fashion statement
in vivid ombre hues! It features a handy stylus design for increased
connectivity and smooth writing black ink for the best writing experience. Your
message will stay top of mind with the generous imprint area.
Material: Metal With Rubberized Finish
Standard Decoration Includes: Standard Laser Engraved Imprint area: 2 1/4? W x
1/4? H on Barrel
All Available Decoration Options:
Lasered: 1.75"" W x 0.25"" H Barrel
Full Color Digital: 2"" W x 0.25"" H Barrel
Expanded Engraving: 2.25"" W x 0.38"" H Barrel
Straight Line Copy: Yes
Tip Type: Ball Point
Mechanism: Push Retractable
Click Here For Virtual Proofing Tool [https://www.hpgspectra.com/?item=703/]
Standard Packaging: Bulk
Tags: Popular, Metal, Tech, Accessory, Phone, Tablet, Gift, Desk, Office,
Executive, Advertisement, College, Grade, Writing, Merchandise, Study, High
School, Pen, Essay, List",,,,,100,499,2.46,A,500,999,2.26,A,1000,4999,2.06,A,5000,10000,1.85,A
Hub,703BLUE/BLK,Blue with Black Ink,Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,703GRAY/BLK,Grey with Black Ink,Grey with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,703GRN/BLK,Green with Black Ink,Green with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,703RED/BLK,Red with Black Ink,Red with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,704,Cache Touch Stylus Pen,"This chic executive metal stylus pen in a soft-touch finish is accented with
colorful metallic trim. It features a handy stylus for increased connectivity
with smooth writing black ink for the best writing experience. Your message is
sure to make a statement with the generous imprint area.
Material: Metal With Rubberized Finish
Standard Decoration Includes: Standard Laser Engraved Imprint area: 2 1/2? W x
1/4? H on Barrel
All Available Decoration Options:
Lasered: 2.5"" W x 0.25"" H Barrel
Full Color Digital: 2.5"" W x 0.25"" H Barrel
Expanded Engraving: 2.5"" W x 0.375"" H Barrel
Straight Line Copy: Yes
Tip Type: Ball Point
Mechanism: Push Retractable
Click Here For Virtual Proofing Tool [https://www.hpgspectra.com/?item=704/]
Standard Packaging: Bulk
Tags: Popular, Metal, Tech, Accessory, Phone, Tablet, Gift, Desk, Office,
Executive, Advertisement, College, Grade, Writing, Merchandise, Study, High
School, Pen, Essay, List",,,,,100,499,2.48,A,500,999,2.28,A,1000,4999,2.07,A,5000,10000,1.86,A
Hub,704GUN/BLK,Gunmetal with Black Ink,Gunmetal with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,704NAVY/BLK,Navy with Black Ink,Navy with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,704RED/BLK,Red with Black Ink,Red with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,704ROSE/BLK,Rose Gold with Black Ink,Rose Gold with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,704SLA/BLK,Slate Blue with Black Ink,Slate Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,706,Schifano Triple Function Pen,"Ultramodern multifunction executive pen with handy stylus. Matte metallic finish
contrast boldly with shining silver details. Press LED end to activate
flashlight.
Material: Metal
Standard Decoration Includes: Lasered, 1 Location
All Available Decoration Options:
Laser Engraved: 1.75"" W x 0.25"" H Barrel
Laser Engraved: 1.5"" W x 0.25"" H Cap
Revolution Engraving: 1.75"" W x 0.5"" H Barrel
Revolution Engraving: 1.5"" W x 0.5"" H Cap
Full Color: 1.75"" W x 0.25"" H Barrell (white only)
Full Color: 1.125"" W x 0.25"" H Cap (white only)
Tip Type: Ballpoint
Mechanism: Pull Cap
Click Here For Virtual Proofing Tool [https://www.hpgspectra.com/?item=706/]
Tags: popular, metal, tech, accessory, phone, tablet, light, dark, gift, desk,
office, executive, multi-function, college, grade, writing, merchandise, pen,
high school, university",,,,,100,499,3.54,A,500,999,3.41,A,1000,4999,3.3,A,5000,10000,3.17,A
Hub,706BLK/BLK,Matte Black with Black Ink,Matte Black with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,706BLUE/BLK,Midnight Blue with Black Ink,Midnight Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,706RED/BLK,Red with Black Ink,Red with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,706WHT/BLK,White with Black Ink,White with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,708,T.Macy Triple Function Pen,"3-in-1 multi-tasker features a smooth writing pen, a micromesh stylus with
advanced connectivity for all touch screen devices and a bright, powerful, LED
flashlight. Quickly and easily changes from function to function. High gloss
chrome and enamel with silver engraving.
Material: Metal
Standard Decoration Includes: Lasered, 1 Location
All Available Decoration Options:
Laser Engraved: 1.5"" W x 0.25"" H Cap
Revolution Engraving: 1.5"" W x 0.5"" H Barrel (Revolution)
Tip Type: Ballpoint
Mechanism: Pull Cap
Standard Packaging: Individually Cellophaned
Tags: popular, metal, tech, accessory, phone, tablet, light, dark, gift, desk,
office, executive, multi-function, college, grade, writing, merchandise, pen,
high school, university",,,,,75,99,5.23,A,100,499,4.89,A,500,999,4.5,A,1000,4999,4.25,A,5000,10000,4,A
Hub,708BLK/BLK,Black with Black Ink,Black with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,708BLUE/BLK,Blue with Black Ink,Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,708GUN/BLK,Gunmetal with Black Ink,Gunmetal with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,708RED/BLK,True Red with Black Ink,True Red with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,709,Zentrio™ Triple Function Pen,"Perfect 3-in-1 gift for the multi-tasker. Quickly and easily changes from
function to function
Handy stylus tip and smooth writing pen at one end. Remove cap to use bright and
powerful LED flashlight
High gloss enamel with ultra modern black and chrome accents
Material: Metal
Standard Decoration Includes: Lasered, 1 Location
All Available Decoration Options:
Laser Engraved: 1.5"" W x 0.25"" H Cap
Revolution Engraving: 1.5"" W x 0.5"" H Barrel (Revolution)
Tip Type: Ballpoint
Mechanism: Pull Cap
Standard Packaging: Individually Cellophaned
Tags: popular, metal, tech, accessory, phone, tablet, light, dark, gift, desk,
office, executive, multi-function, college, grade, writing, merchandise, pen,
high school, university",,,,,100,499,5.6,A,500,999,5.47,A,1000,4999,5.37,A,5000,10000,5.23,A
Hub,709BLK/BLK,Black with Black Ink,Black with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,709BLUE/BLK,Blue with Black Ink,Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,709GUN/BLK,Gunmetal with Black Ink,Gunmetal with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,709RED/BLK,True Red with Black Ink,True Red with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,760PEN,Junior Pen,"Quality brass retractable ballpoint pen with a stylish European look. The unique
24 hole grip exposes silver or gold accents underneath. Brushed silver has
oxidized black imprint. High quality jumbo steel black ink cartridge.
Material: Metal
Standard Decoration Includes: Lasered, 1 Location
All Available Decoration Options:
Laser Engraved: 2.5"" W x 0.19"" H Barrel
Revolution Engraving: 2.5"" W x 0.5"" H Barrel
Tip Type: Ballpoint
Mechanism: Push Retractable
Standard Packaging: Individually Cellophaned
Tags: popular, metal, gift, desk, office, executive, advertisement, college,
grade, writing, merchandise, study, high school, university, essay, list, home,
pen, classic, trade show",,,,,50,99,3.76,A,100,249,3.63,A,250,499,3.49,A,500,999,3.34,A,1000,2000,3.2,A
Hub,760BLK/BLK,Black with Black Ink,Black with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,760BLUE/BLK,Blue with Black Ink,Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,760SIL/BLK,Silver with Black Ink,Silver with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,777,Monaco™ Classic Pen,"Beautifully sculpted executive pen. High gloss enamel combine with 24 Karat
gold-plated accents and an ergonomic rubber grip. Highest quality jumbo
cartridge with black ink. Cambridge Collection lifetime guarantee.
Material: Metal
Standard Decoration Includes: Lasered, 1 Location
All Available Decoration Options:
Laser Engraved: 2.25"" W x 0.25"" H Barrel
Revolution Engraving: 2.25"" W x 0.5"" H Barrel (Revolution)
Tip Type: Ballpoint
Mechanism: Push Retractable
Standard Packaging: Individually Cellophaned
Tags: popular, metal, gift, desk, office, executive, advertisement, college,
grade, writing, merchandise, study, high school, university, essay, list, home,
pen, classic, trade show",,,,,50,99,5.23,A,100,249,4.98,A,250,499,4.74,A,500,999,4.57,A,1000,2000,4.38,A
Hub,777BLK/BLK,Black with Black Ink,Black with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,777BLUE/BLK,Blue with Black Ink,Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,777BURG/BLK,Cinnamon with Black Ink,Cinnamon with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,797,Lantana Pen,"High gloss enamel, 24 Karat gold plated accents and a ribbed rubber bomfort
grip. Guaranteed long life steel black ink cartridge. Cambridge Collection
lifetime guarantee.
Material: Metal
Standard Decoration Includes: Lasered, 1 Location
All Available Decoration Options:
Laser Engraved: 2.25"" W x 0.25"" H Barrel
Revolution Engraving: 2.5"" W x 0.5"" H Barrel (Revolution)
Tip Type: Ballpoint
Mechanism: Push Retractable
Standard Packaging: Individually Cellophaned
Tags: popular, metal, gift, desk, office, executive, advertisement, college,
grade, writing, merchandise, study, high school, university, essay, list, home,
pen, classic, trade show",,,,,50,99,5.47,A,100,249,5.23,A,250,499,4.98,A,500,999,4.8,A,1000,2000,4.62,A
Hub,797BLK/BLK,Black with Black Ink,Black with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,810,Bishop Pen,"Slim twist action executive pen. Deep corporate colors with 24 Karat gold-plated
accents and a stylish clip. Guaranteed smooth writing black ink cartridge.
Material: Metal
Standard Decoration Includes: Lasered, 1 Location
All Available Decoration Options:
Laser Engraved: 1.5"" W x 0.19"" H Cap
Revolution Engraving: 1.75"" W x 0.5"" H Barrel
Revolution Engraving: 1.5"" W x 0.5"" H Cap
Straight Line Copy: 30 characters on barrel or 25 characters on cap
Tip Type: Ballpoint
Mechanism: Twist
Standard Packaging: Individually Cellophaned
Tags: popular, metal, gift, desk, office, executive, advertisement, college,
grade, writing, merchandise, study, high school, university, essay, list, home,
pen, classic, trade show",,,,,50,99,3.58,A,100,249,3.47,A,250,499,3.34,A,500,999,3.16,A,1000,2000,3.02,A
Hub,810BLK/BLK,Black with Black Ink,Black with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,810BLUE/BLK,Blue with Black Ink,Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,810P,Bishop Photo Dome Pen,"Slim twist action executive pen. Deep corporate colors with 24 Karat gold-plated
accents and full color photo dome. Guaranteed smooth writing black ink
cartridge.
Material: Metal
Standard Decoration Includes: Lasered, 1 Location
All Available Decoration Options:
Laser Engraved: 1.5"" W x 0.19"" H Cap
Photodome: 1.75"" W x 0.19"" H Barrel
Revolution Engraving: 1.5"" W x 0.5"" H Cap
Revolution Engraving: 0.75"" W x 0.5"" H Barrel
: 0.38"" DIA Photodome
Straight Line Copy: 30 characters on barrel or 25 characters on cap
Tip Type: Ballpoint
Mechanism: Twist
Standard Packaging: Individually Cellophaned
Tags: popular, metal, gift, desk, office, executive, advertisement, college,
grade, writing, merchandise, study, high school, university, essay, list, home,
pen, classic, trade show",,,,,50,99,6.41,A,100,249,5.91,A,250,499,5.43,A,500,999,4.94,A,1000,2000,4.68,A
Hub,810PBLK/BLK,Black with Black Ink,Black with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,810PBLUE/BLK,Blue with Black Ink,Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,815,Santorini Pen,"Distinctive hourglass shape in a rich enamel finish with matching deep
reflective grip and 24 Kt gold trim. Supersmooth writing black ink. Cambridge
Collection lifetime guarantee.
Material: Metal
Standard Decoration Includes: Lasered, 1 Location
All Available Decoration Options:
Laser Engraved: 2"" W x 0.25"" H Barrel
Revolution Engraving: 2"" W x 0.5"" H Barrel
Tip Type: Ballpoint
Mechanism: Push Retractable
Standard Packaging: Individually Cellophaned
Tags: popular, metal, gift, desk, office, executive, advertisement, college,
grade, writing, merchandise, study, high school, university, essay, list, home,
pen, classic, trade show",,,,,50,99,5.47,A,100,249,5.27,A,250,499,5.09,A,500,999,4.89,A,1000,2000,4.68,A
Hub,815BLK/BLK,Black with Black Ink,Black with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,815BLUE/BLK,Blue with Black Ink,Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,815RED/BLK,Cinnamon with Black Ink,Cinnamon with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,820,Wizzard Executive Pen,"Let your stress whizz away with this fun executive pen! This twist retraction
metal stylus pen features a fun fidget spinner on top that whizzes around with a
flick of your thumb. Jumbo barrel for ergonomic comfort and black anti-fraud ink
for writing excellence. Engraved silver imprint and etched center band.
Material: Metal
Standard Decoration Includes: Laser Engraved on Black, Blue & Gunmetal; Full
Color on White
All Available Decoration Options:
Lasered: 1.25"" W x 0.25"" H Barrel
Lasered: 1"" W x 0.25"" H Cap
Full Color: 1"" W x 0.25"" H Cap, (white only)
Full Color: 1.75"" W x 0.25"" H Barrell (white only)
Expanded Engraving: 1.25"" W x 0.375"" H Barrel
Expanded Engraving: 1"" W x 0.375"" H Cap
Straight Line Copy: Yes
Tip Type: Ball Point
Mechanism: Twist Action
Standard Packaging: Bulk
Tags: Pen, Popular, Metal, Gift, Desk, Office, Executive, Advertisement,
College, Grade, Writing, Merchandise, Study, High School, University, Essay,
List, Home, Pen, Classic, Trade Show",,,,,75,499,5.8,A,500,999,5.32,A,1000,4999,4.84,A,5000,10000,4.36,A
Hub,820BLK/BLK,Black with Black Ink,Black with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,820BLUE/BLK,Blue with Black Ink,Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,820GUN/BLK,Gunmetal with Black Ink,Gunmetal with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,820WHT/BLK,White with Black Ink,White with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,821,The Boss Pen,"Write like a boss with this luxury executive pen. The jumbo barrel offers a soft
touch and rich matte finish with shiny chrome accents for an eye-catching
impression and writing comfort. The strong twist retraction and smooth writing
anti-fraud ink make for the ultimate writing experience.
Material: Rubberized Brass
Standard Decoration Includes: Laser Engraved Imprint Areas: Cap :1-1/2"" W X1/4""
H; Barrel: 1"" W X 1/4"" H
All Available Decoration Options:
Laser Engraved: 1.5"" W x 0.25"" H Cap
Laser Engraved: 1"" W x 0.25"" H Barrel
Expanded Engraving: 1.5"" W x 0.375"" H Cap
Expanded Engraving: 1"" W x 0.375"" H Barrel
Straight Line Copy: Yes
Tip Type: Ball Point
Mechanism: Twist Action
Standard Packaging: Bulk
Tags: Popular, Metal, Gift, Desk, Office, Executive, Advertisement, College,
Grade, Writing, Merchandise, Study, High School, University, Essay, List, Home,
Pen, Classic, Trade Show",,,,,50,99,6.63,A,100,249,6.08,A,250,499,5.53,A,500,999,4.98,A,1000,2000,4.86,A
Hub,821BLK/BLK,Black with Black Ink,Black with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,821BLUE/BLK,Blue with Black Ink,Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,848,Bala™ Stylus Pen,"Handsome wide body executive pen with unique retraction and handy stylus tip.
High gloss enamel and bold chrome clip and accents. Strong click retraction.
Material: Metal
Standard Decoration Includes: Lasered, 1 Location
All Available Decoration Options:
Laser Engraved: 1.25"" W x 0.25"" H Barrel or Cap
Revolution Engraving: 1.25"" W x 0.5"" H Barrel or Cap
Tip Type: Ballpoint
Mechanism: Push Retractable
Standard Packaging: Individually Cellophaned
Tags: popular, metal, tech, accessory, phone, tablet, gift, desk, office,
executive, advertisement, college, grade, writing, merchandise, study, high
school, pen, essay, list",,,,,100,499,3.9,A,500,999,3.79,A,1000,4999,3.66,A,5000,10000,3.54,A
Hub,848RED/BLK,Cinnamon with Black Ink,Cinnamon with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,851,Nashoba™ Torch Pen,"Elegantly appointed multifunction executive pen features unique engraved
accents. Converts to a bright and powerful LED light with a double click.
Ergonomically shaped in high gloss enamel with a shimmering knurled grip.
Supersmooth writing black ink.
Material: Metal
Standard Decoration Includes: Lasered, 1 Location
All Available Decoration Options:
Laser Engraved: 2"" W x 0.25"" H Barrel
Revolution Engraving: 2"" W x 0.5"" H Barrel
Tip Type: Ballpoint
Mechanism: Push Retractable
Standard Packaging: Individually Cellophaned
Tags: popular, metal, flashlight, accessory, multi-function, multi, light, dark,
gift, desk, office, executive, advertisement, college, grade, writing,
merchandise, pen, high school, university",,,,,100,499,4.64,A,500,999,4.4,A,1000,4999,4.15,A,5000,10000,3.9,A
Hub,851BLK/BLK,Black with Black Ink,Black with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,851BLUE/BLK,Blue with Black Ink,Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,851GUN/BLK,Gunmetal with Black Ink,Gunmetal with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,851RED/BLK,True Red with Black Ink,True Red with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,853,St. James™ Triple Function Pen,"The look of high-end Guilloche engraved pens at a promo pen price. This triple
function pen features shimmering barrels and gleaming etched details. Double
click the stylus plunger to activate an LED flashlight.
Material: Metal
Standard Decoration Includes: Lasered, 1 Location
All Available Decoration Options:
Laser Engraved: 1.5"" W x 0.25"" H Barrel
Revolution Engraving: 1"" W x 0.5"" H Cap
Revolution Engraving: 1.25"" W x 0.5"" H Barrel
Tip Type: Ballpoint
Mechanism: Push Retractable
Standard Packaging: Bulk
Tags: popular, metal, tech, accessory, phone, tablet, light, dark, gift, desk,
office, executive, multi-function, college, grade, writing, merchandise, pen,
high school, university",,,,,100,499,4.64,A,500,999,4.4,A,1000,4999,4.15,A,5000,10000,3.9,A
Hub,853BLK/BLK,Black with Black Ink,Black with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,853BLUE/BLK,Blue with Black Ink,Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,853GUN/BLK,Gunmetal with Black Ink,Gunmetal with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,853RED/BLK,Cinnamon with Black Ink,Cinnamon with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,854,Damali™ Stylus Pen,"“Tech"" details give this European executive pen modern appeal. Deep enamel
colors accented with chrome grid pattern. Smooth twist retraction and handy
stylus tip.
Material: Metal
Standard Decoration Includes: Lasered, 1 Location
All Available Decoration Options:
Laser Engraved: 1.25"" W x 0.25"" H Barrel
Revolution Engraving: 1.25"" W x 0.5"" H Barrel
Tip Type: Ballpoint
Mechanism: Twist
Standard Packaging: Individually Cellophaned
Tags: popular, metal, tech, accessory, phone, tablet, gift, desk, office,
executive, advertisement, college, grade, writing, merchandise, study, high
school, pen, essay, list",,,,,100,499,3.96,A,500,999,3.85,A,1000,4999,3.76,A,5000,10000,3.66,A
Hub,854BLK/BLK,Black with Black Ink,Black with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,854BLUE/BLK,Blue with Black Ink,Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,854GUN/BLK,Gunmetal with Black Ink,Gunmetal with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,854RED/BLK,Cinnamon with Black Ink,Cinnamon with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,856,Zonita™ Stylus Pen,"Twist action executive pen with handy microfiber stylus designed for increased
connectivity. High gloss enamel with silver accents and filigree band. Ergonomic
hourglass shape, jumbo rubber grip for supersmooth black ink writing enjoyment.
White has oxidized black imprint.
Material: Metal
Standard Decoration Includes: Lasered, 1 Location
All Available Decoration Options:
Laser Engraved: 1.25"" W x 0.25"" H Barrel
Revolution Engraving: 1.25"" W x 0.5"" H Barrel
Full Color: 2"" W x 0.25"" H White Pen Only on Barrel
Tip Type: Ballpoint
Mechanism: Twist
Standard Packaging: Individually Cellophaned
Tags: popular, metal, tech, accessory, phone, tablet, gift, desk, office,
executive, advertisement, college, grade, writing, merchandise, study, high
school, pen, essay, list",,,,,75,99,3.56,A,100,499,3.46,A,500,999,3.37,A,1000,4999,3.28,A,5000,10000,3.17,A
Hub,856BLK/BLK,Black with Black Ink,Black with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,856BLUE/BLK,Blue with Black Ink,Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,856CIN/BLK,Cinnamon with Black Ink,Cinnamon with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,856WH/BLK,White with Black Ink,White with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,857,Estilo Stylus Pen,"Art Deco inspired lines and etched chrome accents for classic elegance. Rich
enamel graces a generous barrel crowned with a micro-fiber mesh stylus designed
for ultrasensitive connectivity with smartphones and tablets. Bold ink-laydown
in intense black provides a high-end writing experience.
Material: Metal
Standard Decoration Includes: Lasered, 1 Location
All Available Decoration Options:
Laser Engraved: 1.25"" W x 0.25"" H Barrel or Cap
Revolution Engraving: 1.25"" W x 0.5"" H Barrel or Cap
Tip Type: Ballpoint
Mechanism: Twist
Standard Packaging: Individually Cellophaned
Tags: popular, metal, tech, accessory, phone, tablet, gift, desk, office,
executive, advertisement, college, grade, writing, merchandise, study, high
school, pen, essay, list",,,,,100,499,3.66,A,500,999,3.54,A,1000,4999,3.41,A,5000,10000,3.3,A
Hub,857BLK/BLK,Black with Black Ink,Black with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,857BLUE/BLK,Indigo Blue with Black Ink,Indigo Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,857GUN/BLK,Gunmetal with Black Ink,Gunmetal with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,857RED/BLK,Cinnamon with Black Ink,Cinnamon with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
